ccd,Retailer,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,tot_amount,Sales Method
D002,Walmart,2015-01-01 00:00:00,Northeast,New York,New York,Men's Apparel,64,236,15104,Online
A006,Sports Direct,2015-01-01 00:00:00,Northeast,New York,New York,Women's Athletic Footwear,27,210,5670,Outlet
K005,Kohl's,2015-01-02 00:00:00,West,California,Los Angeles,Men's Street Footwear,50,800,40000,Outlet
A007,Kohl's,2015-01-02 00:00:00,West,New Mexico,Albuquerque,Men's Athletic Footwear,60,350,21000,Online
P009,West Gear,2015-01-02 00:00:00,West,Oregon,Portland,Men's Athletic Footwear,40,98,3920,Outlet
K003,West Gear,2015-01-03 00:00:00,South,Arkansas,Little Rock,Women's Athletic Footwear,40,124,4960,Outlet
M006,West Gear,2015-01-03 00:00:00,West,California,San Francisco,Men's Street Footwear,60,1025,61500,Outlet
M006,Kohl's,2015-01-03 00:00:00,West,California,Los Angeles,Men's Street Footwear,43,240,10320,Online
S005,West Gear,2015-01-03 00:00:00,West,Oregon,Portland,Women's Apparel,58,105,6090,Online
R009,Foot Locker,2015-01-03 00:00:00,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,53,58,3074,Online
A001,Sports Direct,2015-01-03 00:00:00,South,Texas,Dallas,Men's Street Footwear,13,233,3029,Outlet
K006,Foot Locker,2015-01-03 00:00:00,Southeast,Virginia,Richmond,Women's Athletic Footwear,82,149,12218,Online
S001,West Gear,2015-01-04 00:00:00,West,Colorado,Denver,Women's Apparel,70,350,24500,In-store
R002,West Gear,2015-01-05 00:00:00,South,Louisiana,New Orleans,Women's Athletic Footwear,39,74,2886,Online
D001,West Gear,2015-01-05 00:00:00,Northeast,New York,Albany,Men's Apparel,55,550,30250,In-store
S003,West Gear,2015-01-05 00:00:00,Midwest,Wisconsin,Milwaukee,Women's Athletic Footwear,14,20,280,Online
P009,Amazon,2015-01-06 00:00:00,South,Alabama,Birmingham,Women's Athletic Footwear,35,100,3500,Outlet
S012,Sports Direct,2015-01-06 00:00:00,West,Hawaii,Honolulu,Men's Athletic Footwear,50,425,21250,Outlet
V001,Foot Locker,2015-01-06 00:00:00,Midwest,Illinois,Chicago,Men's Apparel,56,33,1848,Online
J001,Foot Locker,2015-01-06 00:00:00,Midwest,Iowa,Des Moines,Men's Athletic Footwear,20,175,3500,In-store
R003,Foot Locker,2015-01-06 00:00:00,Midwest,Kansas,Wichita,Men's Street Footwear,40,525,21000,Online
M001,Foot Locker,2015-01-06 00:00:00,Southeast,Kentucky,Louisville,Men's Apparel,59,53,3127,Online
N006,Walmart,2015-01-06 00:00:00,South,Texas,Houston,Women's Street Footwear,48,188,9024,Online
P003,Walmart,2015-01-06 00:00:00,South,Texas,Houston,Women's Apparel,50,975,48750,Outlet
M006,West Gear,2015-01-07 00:00:00,South,Louisiana,New Orleans,Men's Street Footwear,58,248,14384,Online
R007,Sports Direct,2015-01-07 00:00:00,Midwest,Montana,Billings,Men's Street Footwear,18,210,3780,Online
M001,Sports Direct,2015-01-07 00:00:00,South,Tennessee,Knoxville,Men's Athletic Footwear,55,775,42625,Outlet
N002,West Gear,2015-01-08 00:00:00,West,Colorado,Denver,Men's Athletic Footwear,50,450,22500,In-store
M009,Sports Direct,2015-01-08 00:00:00,Southeast,Georgia,Atlanta,Men's Athletic Footwear,50,375,18750,Online
V003,Sports Direct,2015-01-08 00:00:00,South,Tennessee,Knoxville,Men's Street Footwear,27,189,5103,Online
R009,Sports Direct,2015-01-09 00:00:00,South,Alabama,Birmingham,Men's Apparel,45,350,15750,Outlet
A006,Foot Locker,2015-01-09 00:00:00,West,Alaska,Anchorage,Women's Street Footwear,41,113,4633,Online
T003,West Gear,2015-01-09 00:00:00,West,California,San Francisco,Men's Street Footwear,56,273,15288,Online
H001,West Gear,2015-01-09 00:00:00,South,Oklahoma,Oklahoma City,Women's Apparel,28,94,2632,Online
N012,Walmart,2015-01-09 00:00:00,South,Texas,Houston,Men's Apparel,45,625,28125,Outlet
P008,Sports Direct,2015-01-10 00:00:00,Northeast,Connecticut,Hartford,Women's Apparel,60,425,25500,In-store
S002,Foot Locker,2015-01-10 00:00:00,Midwest,Iowa,Des Moines,Women's Street Footwear,40,225,9000,In-store
S006,Foot Locker,2015-01-10 00:00:00,Northeast,Maryland,Baltimore,Women's Street Footwear,27,69,1863,Online
Y001,Sports Direct,2015-01-10 00:00:00,Northeast,Massachusetts,Boston,Men's Street Footwear,37,180,6660,Outlet
R011,West Gear,2015-01-11 00:00:00,West,Colorado,Denver,Women's Athletic Footwear,55,325,17875,In-store
N003,Walmart,2015-01-12 00:00:00,West,Hawaii,Honolulu,Men's Athletic Footwear,70,550,38500,Outlet
N007,Amazon,2015-01-12 00:00:00,Northeast,New Hampshire,Manchester,Women's Street Footwear,40,300,12000,In-store
Y002,Foot Locker,2015-01-13 00:00:00,West,Arizona,Phoenix,Men's Apparel,44,88,3872,Outlet
M012,Foot Locker,2015-01-13 00:00:00,Southeast,Florida,Miami,Women's Street Footwear,32,217,6944,Online
P001,Kohl's,2015-01-13 00:00:00,Midwest,Montana,Billings,Women's Athletic Footwear,39,119,4641,Online
R005,Kohl's,2015-01-13 00:00:00,West,Wyoming,Cheyenne,Men's Street Footwear,50,202,10100,Online
V003,Foot Locker,2015-01-14 00:00:00,Northeast,Delaware,Wilmington,Women's Athletic Footwear,41,75,3075,Online
N003,Sports Direct,2015-01-14 00:00:00,Southeast,North Carolina,Charlotte,Men's Street Footwear,30,875,26250,Online
P001,Foot Locker,2015-01-14 00:00:00,Southeast,South Carolina,Charleston,Women's Street Footwear,45,725,32625,Online
V002,Sports Direct,2015-01-15 00:00:00,South,Alabama,Birmingham,Men's Apparel,37,73,2701,Online
M009,Foot Locker,2015-01-15 00:00:00,Midwest,Iowa,Des Moines,Women's Street Footwear,40,225,9000,In-store
V002,West Gear,2015-01-15 00:00:00,West,Nevada,Las Vegas,Men's Street Footwear,27,173,4671,Outlet
A007,Foot Locker,2015-01-16 00:00:00,Midwest,Minnesota,Minneapolis,Women's Street Footwear,24,41,984,Online
K001,West Gear,2015-01-16 00:00:00,West,Oregon,Portland,Men's Street Footwear,81,200,16200,Online
B001,West Gear,2015-01-16 00:00:00,Northeast,West Virginia,Charleston,Men's Athletic Footwear,42,90,3780,Online
S002,Foot Locker,2015-01-17 00:00:00,Northeast,New Hampshire,Manchester,Women's Street Footwear,43,83,3569,Online
R001,Foot Locker,2015-01-18 00:00:00,Midwest,North Dakota,Fargo,Men's Apparel,40,150,6000,In-store
V004,Foot Locker,2015-01-18 00:00:00,Southeast,South Carolina,Charleston,Men's Street Footwear,65,1150,74750,Online
M007,Amazon,2015-01-20 00:00:00,South,Alabama,Birmingham,Women's Athletic Footwear,34,28,952,Online
K004,West Gear,2015-01-20 00:00:00,Midwest,Iowa,Des Moines,Men's Apparel,55,49,2695,Online
A010,Kohl's,2015-01-20 00:00:00,Midwest,Kansas,Wichita,Women's Athletic Footwear,20,42,840,Online
P005,Sports Direct,2015-01-20 00:00:00,South,Tennessee,Knoxville,Men's Apparel,50,475,23750,Outlet
S001,Amazon,2015-01-21 00:00:00,West,Alaska,Anchorage,Women's Street Footwear,55,350,19250,Outlet
M007,West Gear,2015-01-21 00:00:00,Southeast,Florida,Orlando,Men's Apparel,64,179,11456,Outlet
M012,Sports Direct,2015-01-21 00:00:00,West,Idaho,Boise,Women's Apparel,50,625,31250,Online
R006,Foot Locker,2015-01-21 00:00:00,Southeast,Kentucky,Louisville,Men's Athletic Footwear,55,325,17875,Online
R003,Foot Locker,2015-01-21 00:00:00,Midwest,South Dakota,Sioux Falls,Women's Apparel,40,225,9000,Online
M002,Amazon,2015-01-22 00:00:00,Northeast,Maine,Portland,Men's Apparel,65,100,6500,Outlet
B001,Foot Locker,2015-01-22 00:00:00,Northeast,Rhode Island,Providence,Men's Street Footwear,46,143,6578,Online
M009,Sports Direct,2015-01-22 00:00:00,Midwest,South Dakota,Sioux Falls,Men's Apparel,45,175,7875,Online
V003,Amazon,2015-01-23 00:00:00,West,Alaska,Anchorage,Women's Athletic Footwear,50,125,6250,Outlet
D002,Sports Direct,2015-01-23 00:00:00,Midwest,North Dakota,Fargo,Men's Athletic Footwear,34,72,2448,Online
J001,Foot Locker,2015-01-24 00:00:00,Midwest,Nebraska,Omaha,Men's Athletic Footwear,35,200,7000,Outlet
P009,West Gear,2015-01-25 00:00:00,West,Colorado,Denver,Men's Street Footwear,60,525,31500,In-store
